x1_min,x1_max,x2_min,x2_max,y_min,y_max
3.00,8.00,4.00,9.00,0.50,2.50
6.00,21.00,4.00,14.00,1.00,3.50
4.00,8.00,5.00,11.00,1.00,2.00
7.00,16.00,4.00,7.00,3.00,4.50
5.00,12.00,2.00,5.00,1.50,2.50
5.00,15.00,4.00,10.00,2.00,4.00
4.00,11.00,3.00,7.00,0.40,1.00
5.00,10.00,3.00,6.00,1.00,2.00
2.50,4.00,3.00,5.00,0.40,0.70
2.50,6.00,1.50,3.50,1.00,1.50
1.50,2.50,3.00,6.00,0.25,0.35
4.00,15.00,4.00,15.00,1.50,2.50
3.50,8.00,4.00,10.00,1.00,2.00
7.00,14.00,8.00,14.00,1.50,2.50
8.00,20.00,9.00,19.00,3.00,5.00
2.50,4.00,2.50,4.50,0.40,0.70
7.00,19.00,8.00,15.00,2.00,3.50
5.00,15.00,6.00,15.00,2.50,3.50
8.00,12.00,6.00,12.00,1.50,2.00
2.00,6.00,3.00,7.00,0.40,0.80
6.00,12.00,6.00,12.00,1.50,2.00
6.00,12.00,6.00,16.00,1.00,2.00
5.00,17.00,4.00,14.00,1.00,3.50
0.80,3.00,2.00,4.00,0.10,0.20
3.00,6.00,4.00,9.00,0.40,0.70
1.00,4.50,2.50,5.50,0.40,0.80
8.00,25.00,10.00,20.00,1.50,4.00
6.00,12.00,9.00,17.00,1.00,2.00
4.00,12.00,5.00,15.00,1.00,2.00
6.00,39.00,6.00,16.00,2.00,3.00
5.00,14.00,6.00,12.00,1.50,3.50
5.00,13.00,10.00,22.00,1.50,3.00
8.00,18.00,10.00,25.00,1.00,3.00
4.00,15.00,7.00,11.00,1.00,2.50
3.50,15.00,4.00,18.00,1.00,3.00
4.00,14.00,5.00,15.00,1.00,3.00
5.50,10.00,6.00,13.00,1.20,2.00
5.00,11.00,4.00,11.00,1.00,2.50
1.00,2.50,1.50,4.00,0.30,0.50
3.00,13.00,5.00,17.00,0.50,3.00
5.00,25.00,4.00,15.00,1.00,6.00
1.00,3.00,2.00,8.00,0.10,0.30
4.00,7.00,15.00,35.00,0.50,1.50
5.00,9.00,3.00,6.00,1.00,3.00
5.00,14.00,8.00,14.00,2.00,4.00
7.00,14.00,7.00,13.00,3.00,4.00
4.00,10.00,4.00,7.00,1.50,3.00
7.00,14.00,5.00,9.00,3.00,6.00
4.00,9.00,5.00,10.00,1.00,1.50
4.00,8.00,4.00,7.00,1.00,3.00
4.00,12.00,4.00,8.00,1.00,2.50
7.00,25.00,7.00,20.00,3.00,8.00
6.00,11.00,6.00,12.00,1.00,2.00
8.00,15.00,5.00,9.00,2.50,4.50
8.00,15.00,5.00,9.00,3.00,4.00
7.00,15.00,7.00,15.00,3.50,7.00
4.00,12.00,4.00,8.00,1.00,2.00
5.00,10.00,5.00,10.00,1.50,2.50
4.00,11.00,5.00,10.00,1.00,3.00
3.00,7.00,2.50,7.00,1.00,2.00
1.50,3.50,4.00,7.50,0.40,0.60
3.00,11.00,2.00,9.00,0.50,3.50
5.00,10.00,2.00,5.00,2.00,3.00
2.00,4.00,2.50,7.00,0.50,1.00
5.00,15.00,4.50,13.00,1.30,2.50
